Frequency,Sender,Receiver,Difference
8.203125,0.79,-0.51,0.28
8.3984375,-1.12,-3.07,-1.95
8.59375,2.63,1.71,0.92
8.7890625,0.67,-1.09,-0.42
8.984375,-0.8,-2.13,-1.33
9.1796875,2.48,1.45,1.03
9.375,0.01,0.06,-0.05
9.5703125,0.6,-0.93,-0.33
9.765625,-1.21,2.92,-1.71
9.9609375,1,0.83,0.17
10.15625,-2.65,-0.22,2.43
10.3515625,0.02,-2.17,-2.15
10.546875,2.4,0.06,2.34
10.7421875,-1.12,1.67,-0.55
10.9375,0.92,-1.3,-0.38
11.1328125,-2.73,-1.82,0.91
11.328125,0.32,1.55,-1.23
11.5234375,1.94,0.94,1
11.71875,-1.01,-1.91,-0.9
11.9140625,1.62,0.13,1.49
12.109375,-1.44,1.84,-0.4
12.3046875,1.3,-0.5,0.8
12.5,-1.23,-0.93,0.3
12.6953125,2.41,2.94,-0.53
12.890625,0.85,0.62,0.23
13.0859375,-1.84,-1.37,0.47
13.28125,-2.04,-2.16,-0.12
13.4765625,1.9,1.78,0.12
13.671875,0.3,0.35,-0.05
13.8671875,-2.13,-1.7,0.43
14.0625,-2.74,-3.07,-0.33
14.2578125,1.44,1.31,0.13
14.453125,-0.47,-0.49,-0.02
14.6484375,-2.48,-2.16,0.32
14.84375,2.37,2.07,0.3
15.0390625,1.03,1.61,-0.58
15.234375,-0.97,-0.4,0.57
15.4296875,-3.1,-2.72,0.38
15.625,1.6,1.8,-0.2
15.8203125,0.52,0.61,-0.09
16.015625,-1.02,-1.5,-0.48
16.2109375,3.03,-2.8,0.23
16.40625,1.43,1.66,-0.23
16.6015625,0.31,-0.15,0.16
16.796875,-1.5,-1.7,-0.2
16.9921875,2.98,2.89,0.09
17.1875,1.14,1.32,-0.18
17.3828125,-0.59,-0.59,0
17.578125,-2.05,-2.04,0.01
17.7734375,2.04,2.2,-0.16
17.96875,0.55,0.56,-0.01
18.1640625,-1.03,-0.86,0.17
18.359375,-2.6,-2.58,0.02
18.5546875,1.94,2.07,-0.13
18.75,0.32,0.42,-0.1
18.9453125,-1.27,-1.3,-0.03
19.140625,-2.96,-2.97,-0.01
19.3359375,1.64,1.68,-0.04
19.53125,0.15,0.08,0.07
19.7265625,-1.63,-1.61,0.02
19.921875,2.94,2.92,0.02
20.1171875,0.92,0.93,-0.01
20.3125,-1.49,-1.42,0.07
20.5078125,-2.38,-2.22,0.16
20.703125,2.63,2.49,0.14
20.8984375,0.95,0.96,-0.01
21.09375,-0.8,-0.87,-0.07
21.2890625,-2.55,-2.55,0
21.484375,2.25,2.15,0.1
21.6796875,0.56,0.5,0.06
21.875,-1.12,-1.19,-0.07
22.0703125,-2.84,-2.87,-0.03
22.265625,1.88,1.86,0.02
22.4609375,0,-0.01,-0.01
22.65625,-3.02,-3.02,0
22.8515625,0.13,0.12,0.01
23.046875,-2.33,-2.33,0
23.2421875,2.39,2.39,0
23.4375,0.74,0.74,0
23.6328125,-0.86,-0.88,-0.02
23.828125,-2.51,-2.54,-0.03
24.0234375,1.98,1.93,0.05
24.21875,0.33,0.32,0.01
24.4140625,-1.27,-1.34,-0.07
24.609375,-2.73,-2.99,-0.26
24.8046875,0.99,0.82,0.17
25,-0.83,-1.13,-0.3
